datetime (local time),measurement (°C)
2025-03-21 22:33:29.490551,-0.528302788734436
2025-03-21 22:34:29.465881,-0.5819298028945923
2025-03-21 22:35:29.461713,-0.3030754029750824
2025-03-21 22:36:29.459731,-0.19582518935203552
2025-03-21 22:37:29.457848,-0.14219817519187927
2025-03-21 22:38:29.456073,-0.07784805446863174
2025-03-21 22:39:29.453869,0.6836341619491577
2025-03-21 22:40:14.165223,0.2331794798374176
2025-03-21 22:40:24.147308,0.1473793089389801
2025-03-21 22:40:34.146321,0.12592926621437073
2025-03-21 22:40:44.145305,0.12592926621437073
2025-03-21 22:40:54.144222,0.10447921603918076
2025-03-21 22:41:04.144228,0.09375228732824326
2025-03-21 22:41:14.144285,0.07230224460363388
2025-03-21 22:41:24.145211,0.08302917331457138
2025-03-21 22:41:34.144204,0.07230224460363388
2025-03-21 22:41:44.144252,0.06157531589269638
2025-03-21 22:41:54.144235,0.09375228732824326
2025-03-21 22:42:04.144190,0.07230224460363388
2025-03-21 22:42:14.144154,0.050852201879024506
2025-03-21 22:42:24.144186,0.06157531589269638
2025-03-21 22:42:34.144150,0.08302917331457138
2025-03-21 22:42:44.144182,0.08302917331457138
2025-03-21 22:42:54.144199,0.07230224460363388
2025-03-21 22:43:04.144200,0.050852201879024506
2025-03-21 22:43:14.143757,0.06157531589269638
2025-03-21 22:43:24.144176,0.08302917331457138
2025-03-21 22:43:34.144235,0.07230224460363388
2025-03-21 22:43:44.143229,0.07230224460363388
2025-03-21 22:43:54.143237,0.07230224460363388
2025-03-21 22:44:04.143252,0.050852201879024506
2025-03-21 22:44:14.143260,0.07230224460363388
2025-03-21 22:44:24.143222,0.08302917331457138
2025-03-21 22:44:34.142251,0.07230224460363388
2025-03-21 22:44:44.142223,0.050852201879024506
2025-03-21 22:44:54.142230,0.07230224460363388
2025-03-21 22:45:04.141210,0.06157531589269638
2025-03-21 22:45:14.141247,0.07230224460363388
2025-03-21 22:45:24.141268,0.050852201879024506
2025-03-21 22:45:34.141313,0.040125273168087006
2025-03-21 22:45:44.142243,0.06157531589269638
2025-03-21 22:45:54.142304,0.07230224460363388
2025-03-21 22:46:04.142189,0.07230224460363388
2025-03-21 22:46:14.141320,0.07230224460363388
2025-03-21 22:46:24.142273,0.07230224460363388
2025-03-21 22:46:34.142285,0.06157531589269638
2025-03-21 22:46:44.142125,0.07230224460363388
2025-03-21 22:46:54.142312,0.06157531589269638
2025-03-21 22:47:04.142433,0.050852201879024506
2025-03-21 22:47:14.142470,0.07230224460363388
2025-03-21 22:47:24.142479,0.06157531589269638
2025-03-21 22:47:34.142453,0.06157531589269638
2025-03-21 22:47:44.142007,0.09375228732824326
2025-03-21 22:47:55.705061,0.08302917331457138
2025-03-21 22:48:05.685430,0.07230224460363388
2025-03-21 22:48:15.685477,0.09375228732824326
2025-03-21 22:48:25.685273,0.09375228732824326
2025-03-21 22:48:35.685559,0.09375228732824326
2025-03-21 22:48:45.685434,0.06157531589269638
2025-03-21 22:48:55.685433,0.08302917331457138
2025-03-21 22:49:05.685498,0.08302917331457138
2025-03-21 22:49:15.685645,0.07230224460363388
2025-03-21 22:49:25.686801,0.08302917331457138
2025-03-21 22:49:41.972746,0.08302917331457138
2025-03-21 22:50:41.954301,0.09375228732824326
2025-03-21 22:51:41.954674,0.08302917331457138
2025-03-21 22:52:41.955816,0.08302917331457138
2025-03-21 22:53:41.956320,0.07230224460363388
2025-03-21 22:54:41.955580,0.07230224460363388
2025-03-21 22:55:41.955760,0.09375228732824326
2025-03-21 22:56:41.956025,0.08302917331457138
2025-03-21 22:57:41.955166,0.09375228732824326
2025-03-21 22:58:41.955434,0.08302917331457138
2025-03-21 22:59:41.954576,0.11520233005285263
2025-03-21 23:00:41.954707,0.12592926621437073
2025-03-21 23:01:41.955609,0.09375228732824326
2025-03-21 23:02:41.954784,0.08302917331457138
2025-03-21 23:03:41.953841,0.10447921603918076
2025-03-21 23:04:41.952996,0.11520233005285263
2025-03-21 23:05:41.952052,0.09375228732824326
2025-03-21 23:06:41.952154,0.12592926621437073
2025-03-21 23:07:41.951590,0.09375228732824326
2025-03-21 23:08:41.952326,0.10447921603918076
2025-03-21 23:09:41.952975,0.12592926621437073
2025-03-21 23:10:41.953503,0.11520233005285263
2025-03-21 23:11:41.953552,0.11520233005285263
2025-03-21 23:12:41.953651,0.11520233005285263
2025-03-21 23:13:41.952610,0.11520233005285263
2025-03-21 23:14:41.952941,0.10447921603918076
2025-03-21 23:15:41.953039,0.12592926621437073
2025-03-21 23:16:41.954207,0.1366523802280426
2025-03-21 23:17:41.954276,0.1366523802280426
2025-03-21 23:18:41.954387,0.11520233005285263
2025-03-21 23:19:41.952520,0.11520233005285263
2025-03-21 23:20:41.952637,0.11520233005285263
2025-03-21 23:21:41.953774,0.12592926621437073
2025-03-21 23:22:41.952749,0.1366523802280426
2025-03-21 23:23:41.953016,0.12592926621437073
2025-03-21 23:24:41.954113,0.1473793089389801
2025-03-21 23:25:41.954279,0.1366523802280426
2025-03-21 23:26:41.954381,0.1473793089389801
2025-03-21 23:27:41.953476,0.1366523802280426
2025-03-21 23:28:41.953620,0.12592926621437073
2025-03-21 23:29:41.954759,0.1366523802280426
2025-03-21 23:30:41.954782,0.1366523802280426
2025-03-21 23:31:41.955085,0.15810242295265198
2025-03-21 23:32:41.956166,0.1366523802280426
2025-03-21 23:33:41.956281,0.1473793089389801
2025-03-21 23:34:41.957433,0.1473793089389801
2025-03-21 23:35:41.956898,0.1473793089389801
2025-03-21 23:36:41.959314,0.15810242295265198
2025-03-21 23:37:41.960733,0.17955246567726135
2025-03-21 23:38:41.961138,0.16882935166358948
2025-03-21 23:39:41.962479,0.1473793089389801
2025-03-21 23:40:41.961721,0.15810242295265198
2025-03-21 23:41:41.962191,0.1473793089389801
2025-03-21 23:42:41.962441,0.16882935166358948
2025-03-21 23:43:41.964818,0.15810242295265198
2025-03-21 23:44:41.966168,0.17955246567726135
2025-03-21 23:45:41.966882,0.17955246567726135
2025-03-21 23:46:41.967564,0.1473793089389801
2025-03-21 23:47:41.968733,0.15810242295265198
2025-03-21 23:48:41.969250,0.1473793089389801
2025-03-21 23:49:41.968346,0.16882935166358948
2025-03-21 23:50:41.968516,0.16882935166358948
2025-03-21 23:51:41.969764,0.17955246567726135
2025-03-21 23:52:41.970001,0.17955246567726135
2025-03-21 23:53:41.971243,0.1473793089389801
2025-03-21 23:54:41.972414,0.17955246567726135
2025-03-21 23:55:41.972335,0.17955246567726135
2025-03-21 23:56:41.972805,0.17955246567726135
2025-03-21 23:57:41.974992,0.17955246567726135
2025-03-21 23:58:41.975244,0.17955246567726135
2025-03-21 23:59:41.973358,0.20100250840187073
2025-03-22 00:00:41.973317,0.16882935166358948
2025-03-22 00:01:41.973219,0.19027939438819885
2025-03-22 00:02:41.973029,0.20100250840187073
2025-03-22 00:03:41.973884,0.17955246567726135
2025-03-22 00:04:41.974689,0.17955246567726135
2025-03-22 00:05:41.974670,0.17955246567726135
2025-03-22 00:06:41.975620,0.2224525511264801
2025-03-22 00:07:41.974548,0.20100250840187073
2025-03-22 00:08:41.974495,0.19027939438819885
2025-03-22 00:09:41.974556,0.20100250840187073
2025-03-22 00:10:41.975561,0.21172943711280823
2025-03-22 00:11:41.973591,0.20100250840187073
2025-03-22 00:12:41.972624,0.2224525511264801
2025-03-22 00:13:41.972692,0.2224525511264801
2025-03-22 00:14:41.973397,0.20100250840187073
2025-03-22 00:15:41.973779,0.2224525511264801
2025-03-22 00:16:41.974844,0.24390259385108948
2025-03-22 00:17:41.973958,0.21172943711280823
2025-03-22 00:18:41.973978,0.2224525511264801
2025-03-22 00:19:41.974147,0.24390259385108948
2025-03-22 00:20:41.973159,0.24390259385108948
2025-03-22 00:21:41.973327,0.2331794798374176
2025-03-22 00:22:41.973322,0.24390259385108948
2025-03-22 00:23:41.973438,0.24390259385108948
2025-03-22 00:24:41.973569,0.24390259385108948
2025-03-22 00:25:41.973683,0.24390259385108948
2025-03-22 00:26:41.972723,0.26535263657569885
2025-03-22 00:27:41.972893,0.254629522562027
2025-03-22 00:28:41.972058,0.24390259385108948
2025-03-22 00:29:41.972653,0.27607956528663635
2025-03-22 00:30:41.973258,0.26535263657569885
2025-03-22 00:31:41.974257,0.26535263657569885
2025-03-22 00:32:41.975194,0.2868026793003082
2025-03-22 00:33:41.976526,0.27607956528663635
2025-03-22 00:34:41.976675,0.27607956528663635
2025-03-22 00:35:41.975963,0.27607956528663635
2025-03-22 00:36:41.976186,0.2975296080112457
2025-03-22 00:37:41.976267,0.2868026793003082
2025-03-22 00:38:41.976432,0.2975296080112457
2025-03-22 00:39:41.976704,0.2975296080112457
2025-03-22 00:40:41.977881,0.2868026793003082
2025-03-22 00:41:41.976859,0.2975296080112457
2025-03-22 00:42:41.977249,0.2975296080112457
2025-03-22 00:43:41.976398,0.3082527220249176
2025-03-22 00:44:41.976482,0.3082527220249176
2025-03-22 00:45:41.976631,0.3082527220249176
2025-03-22 00:46:41.976859,0.3082527220249176
2025-03-22 00:47:41.976051,0.3189796507358551
2025-03-22 00:48:41.976202,0.3404296934604645
2025-03-22 00:49:41.974228,0.3404296934604645
2025-03-22 00:50:41.976439,0.3189796507358551
2025-03-22 00:51:41.976603,0.36187973618507385
2025-03-22 00:52:41.976484,0.351156622171402
2025-03-22 00:53:41.976684,0.3833297789096832
2025-03-22 00:54:41.977065,0.3404296934604645
2025-03-22 00:55:41.977213,0.36187973618507385
2025-03-22 00:56:41.978304,0.329702764749527
2025-03-22 00:57:41.977452,0.37260666489601135
2025-03-22 00:58:41.977524,0.36187973618507385
2025-03-22 00:59:41.976551,0.37260666489601135
2025-03-22 01:00:41.976834,0.3833297789096832
2025-03-22 01:01:41.975961,0.37260666489601135
2025-03-22 01:02:41.975061,0.3833297789096832
2025-03-22 01:03:41.975183,0.4047798216342926
2025-03-22 01:04:41.975220,0.4047798216342926
2025-03-22 01:05:41.975268,0.4047798216342926
2025-03-22 01:06:41.976391,0.4047798216342926
2025-03-22 01:07:41.977339,0.426229864358902
2025-03-22 01:08:41.977584,0.3940567076206207
2025-03-22 01:09:41.977712,0.426229864358902
2025-03-22 01:10:41.978765,0.45840683579444885
2025-03-22 01:11:41.979881,0.44767990708351135
2025-03-22 01:12:41.978050,0.44767990708351135
2025-03-22 01:13:41.976206,0.4905799925327301
2025-03-22 01:14:41.974247,0.5013068914413452
